English Word,Translation,Part-of-Speech
duckling,patito {m},{n} /ˈdʌklɪŋ/ (young duck)
duck soup,,{n} (something which is easy)
duck tape,"cinta americana {f}, cinta plateada {f}",{n} (informal: duct tape)
duct,conducto {m},"{n} /dʌkt/ (a pipe, tube or canal which carries air or liquid from one place to another)"
ductility,ductilidad {f},{n} /dʌkˈtɪlɪdi/ (ability of a material to be drawn out longitudinally to a reduced section without fracture under the action of a tensile force)
duct tape,"cinta americana {f}, cinta plateada {f}",{n} (multipurpose waterproof tape)
dud,,{n} /dʌd/ (obsolete: clothes)
dude,"chaval {m}, tio {m}, huevón [Chile] {m}; ; tipo {m}, mae {m} [Costa Rica], tío {m} [Spain], bato; compadre {m}, colega {m} [Spain], flaco {m} [River Plate], güey [Mexico] {m}, mano {m} [Andes, Central America, Carribean, Mexico], parce [Colombia], tío [Spain]",{n}; {n} (dandy); {n} /duːd/ (slang: man); {n} (slang: term of address for a man)
duduk,duduk,{n} (Armenian musical instrument)
due,salir de cuentas {n}; mérito {m},"{adj} /du/ (of a pregnant woman, due to give birth on the stated date); {n} (deserved acknowledgement)"
duel,duelo {m}; duelo {m}; duelo {m}; duelar,{n} /ˈduː.əl/ (combat between two persons); {n}; {n} (struggle between two parties); {v} (engage in a duel)
dueler,,{n} (dueler)
duet,"dúo {m}, dueto {m}",{n} (a musical composition for two performers)
due to,debido a,{prep} (caused by)
duffel coat,trenca {f},"{n} (hooded coat, made from duffel)"
dugong,dugongo {m},{n} /ˈduːɡɒŋ/
duke,duque {m}; duque {m},{n} /duːk/ (male ruler of a duchy); {n} (male holder of a dukedom)
dulcet,dulce,{adj} /ˈdʌl.sɪt/
dulcimer,"salterio {m}, dulcémele {m}",{n} /ˈdʌl.sɪ.mə(ɹ)/ (musical instrument)
dulcour,,{n} /ˈdʌlkə/ (sweetness; dulcitude; suavitude)
dull,"aburrido; romo; obtuso, corto {m}, limitado {m}; mate, opaco {m}; soso, embotado; redondear; mellar, desafilar; aliviar, alivianar, moderar, amortiguar",{adj} (boring); {adj} /dʌl/ (lacking the ability to cut easily; not sharp); {adj} (not bright or intelligent); {adj} (not shiny); {adj}; {v}; {v}; {v}
duly,Debidamente; debidamente,{adv}; {adv} (properly)
duma,duma {f},{n} /ˈdumə/ (a Russian national parliament)
dumb,"; estúpido; estúpido, tonto",{adj} /dʌm/ (unable to speak); {adj} (extremely stupid); {adj} (pointless or unintellectual)
dumbass,"torpe {m}, tontón {m}, tarado {m}, gilipollas {n}",{n} /ˈdʌm.æs/ (person marked by stupidity or foolishness)
dumbbell,"pesas {f} {p}, mancuerna {f}",{n} /ˈdʌm.bɛl/ (A weight with two disks attached to a short bar)
dumb blonde,rubio mudo,{n} (female)
dumbfound,"dejar boquiabierto, dejar pasmado",{v} /ˈdʌm.faʊnd/ (to confuse and bewilder)
dumbledore,; ; ,{n} (beetle); {n} (dandelion); {n} /ˈdʌm.bəl.dɔːr/ (bumblebee)
dumb terminal,"terminal noninteligente {s}, terminales noninteligentes {p}",{n} (computer terminal consisting of a monitor and keyboard)
dumfounded,,{adj} (dumbfounded)
dummy,chupete {m}; maniquí {m},{n} (a pacifier); {n} /ˈdʌmi/ (something constructed with the size and form of a human)
dump,"depósito, basurero {m}; basural, tiradero, vertedero; echar; volcar en memoria; tirar a la basura, arrojar","{n}; {n} /dʌmp/ (a place where waste or garbage is left); {v}; {v} (to copy data from a system to another place or system); {v} (to discard, to get rid of)"
dumper,camión bañera,{n}
dumpling,"albóndiga {f}, ñoqui {m}",{n} (food)
dun,pardo; pardo,{adj} (of a brownish grey colour); {n} (colour)
dune,"duna {f}, médano {m}",{n} /duːn/ (a ridge or hill of sand piled up by the wind)
dung,"excremento {m}, estiércol {m}",{n} (manure)
dungarees,"braga {f} [Venezuela], jardinera {f} [Chile], mameluco {m} [Argentina], pantalón de peto {m} [Spain], mono",{n} /ˌdʌŋ.ɡəˈɹiːz/ (heavy denim pants or overalls)
dung beetle,escarabajo pelotero {m},{n} (insect of the family Scarabaeidae)
dungeon,"mazmorra {f}, calabozo {m}; mazmorra {f}",{n} /ˈdʌn.dʒən/ (underground prison or vault); {n} (the main tower of a motte or castle; a keep or donjon)
dunghill,basurero {m},{n} (heap of dung)
dunlin,"playero {m}, correlimos {m}",{n} (Calidris alpina)
dunnage,; ,{n} (baggage); {n} (personal effects)
dunno,"[colloquial mexico 1st person sing.] sepa, [Chile] sabí",{contraction} /ˈdʌnəʊ/ (do (does) not know)
duo,"dúo {m}, dupla {f}, equipo de dos {m}","{n} /ˈdu.oʊ/ (twosome, especially musicians)"
duodecimal,duodécimo,{adj} (expressed in a base 12 number system)
duodenal,duodenal,{adj} (of or pertaining to the duodenum)
duodenum,duodeno {m},{n} /djuːə(ʊ)ˈdiːnəm/ (first part of the small intestine)
dupe,"incauto, engrupido, engañado {m}; engañar","{n} (deceived person); {v} (to swindle, deceive, or trick)"
duplicate,duplicar,{v} /ˈdjuː.plɪ.kət/ (to make a copy of)
duplication,duplicación {f},{n} (act of duplicating)
durable,"duradero, durable, perdurable",{adj} (able to resist wear; enduring)
duramen,,{n} (heartwood)
Durango,Durango {m},{prop} (state of Mexico)
duration,duración {f},{n} /djuːˈɹeɪʃn̩/ (amount of time)
duress,coacción {f},{n} (constraint by threat)
durian,durián {m},{n} (fruit)
during,"durante, a lo largo de; durante, a lo largo de",{prep} /ˈdʊəɹɪŋ/ (for all of a given time interval); {prep} (within a given time interval)
Dushanbe,"Dusambé, Dushambé",{prop} (capital of Tajikistan)
dusk,"crepúsculo {m}, ocaso {m}",{n} /dʌsk/ (a period of time occurring at the end of the day during which the sun sets)
dusky,,{adj} /ˈdʌs.ki/ (dark-skinned)
dust,"polvo {m}; desempolvar, limpiar el polvo; desempolvar, limpiar el polvo","{n} /dʌst/ (fine, dry particles); {v} ((intransitive) to clean by removing dust); {v} ((transitive) to remove dust from)"
dustbin,"basurero {m} [Chile, Costa Rica, Peru], bote de basura {m} [El Salvador, Guatemala, Nicaragua, Mexico], caneca de basura {f} [Colombia], cesto de basura {m} [especially Cuba and Honduras], cubo de basura {m} [Spain], latón de basura {m} [Cuba], pipote de basura {m} [Venezuela], tacho de basura {m} [Argentina, Bolivia, Ecuador, Chile, Paraguay, Peru, Uruguay], tinaco de basura {m} [Panama], zafacón {m} [Dominican Republic, Puerto Rico]",{n} (container for trash)
dust bunny,peluzote {m},{n} (a small clump of dust)
dustcart,,{n} (rubbish collection vehicle)
dust devil,"torbellino de polvo {m}, remolino de polvo {m}",{n} (A small atmospheric vortex appearing in clear dry conditions made visible by swirling dust picked up from the ground)
dust jacket,"sobrecubierta {f}, forro {m}",{n} (detachable protective cover of a book)
dustman,,{n} (garbage collector)
dustpan,recogedor {m},{n} (flat scoop for assembling dust)
duststorm,"polvareda {f}, tormenta de polvo {f}",{n} /ˈdʌst.stɔː(ɹ)m/ (A storm of dust)
dusty,polvoriento,{adj} (covered with dust)
Dutch,"neerlandés, holandés; holandés {m}; neerlandés {m}, holandés {m}","{adj} /dʌtʃ/ (of the Netherlands, people, or language); {prop} (people from the Netherlands); {prop} (the Dutch language)"
Dutch cap,,{n} (contraceptive device)
Dutchman,holandés {m},{n} /ˈdʌtʃˌmən/ (a Dutch man)
Dutch wife,abrazador,{n} /ˌdʌtʃ ˈwaɪf/ (long body-length pillow)
Dutchwoman,holandesa {f},{prop} /dʌtʃˌwʊmən/ (a Dutch woman)
duty,"deber {m}, obligación {f}; arancel {m}",{n} /duːɾi/ (that which one is morally or legally obligated to do); {n} (tax; tariff)
duvet,edredón acolchado,{n} /ˈduːveɪ/ (bedding)
DVD player,reproductor de DVD {m},{n} (DVD player)
dwarf,enano; enano {m}; enano {m},"{n} /dwɔː(r)f/ (creature from folklore, underground dwelling nature spirit); {n}; {n} (small person)"
dwarfism,enanismo {m},{n} (condition of being a dwarf)
dwarf planet,planeta enano {m},{n} (a type of celestial body)
dwarf sperm whale,cachalote enano {m},{n}
dwarf spheroidal galaxy,galaxia enana esferoidal {f},{n} (faint galaxy that is devoid of gas with higher than normal proportion of dark matter)
dwarf star,estrella enana {f},{n} (star that is a located in the main sequence)
dwell,"habitar, morar","{v} /dwel/ (live, reside)"
dweller,,{n} /dwɛləɹ/ (inhabitant)
dwelling,"domicilio, morada, residencia, vasa.",{n} /ˈdwɛl.ɪŋ/ (a place or house in which a person lives)
dwindle,"disminuir, agotarse, desaparecer, menguar","{v} /ˈdwɪn.dəl/ ((intransitive) to decrease, shrink, vanish)"
DYC,PCA,{initialism} (damn yellow composite)
dye,"tinte {m}, tintura {f}; ; teñir, tinturar","{n} /daɪ/ (a colourant, especially one that has an affinity to the substrate to which it is applied); {n} (die); {v} (to colour with dye)"
dyke,"tortillera {f}, bollo {f}; ",{n} (lesbian); {n} (variant spelling of dike)
dynamic,dinámico; dinámico; dinámico,{adj} (able to change); {adj} /daɪˈnæmɪk/ (not steady; in motion); {adj} (powerful)
dynamically,dinámicamente,{adv} (of a dynamic nature)
dynamicity,dinamicidad {f},{n} (condition of being dynamic)
dynamic memory,memoria dinámica {f},{n} (computer memory)
dynamics,dinámica {f},{n} (a branch of mechanics)
dynamism,dinamismo {m},{n}
dynamite,dinamita {f}; dinamitar,{n} (class of explosives); {v} (to blow up with dynamite or other high explosive)
dynamitist,,{n} (dynamiter)
dynamo,dinamo {m},{n} (dynamo-electric machine)
Dynamo,dinamo {m},{n} (dynamo-electric machine)
dynastic,dinástico,{adj} (pertaining to a dynasty)
dynasty,dinastía {f},{n} /'daɪnəsti/ (A series of rulers or dynasts from one family)
dyne,dina,{n} /daɪn/ (unit of force)
dysfunctional,disfuncional {m} {f},{adj} (Functioning incorrectly or abnormally)
dyslexia,dislexia {f},{n} (learning disability)
dyslexic,disléxico; disléxico; disléxico {m},{adj} (having dyslexia); {adj} (of or pertaining to dyslexia); {n} (a person who has dyslexia)
dyslogistic,despectivo {m},{adj} (expressing censure or disapproval)
dysphemism,disfemismo {m},{n} /ˈdɪs.fəˌmɪ.z(ə)m/ (Word or phrase used to replace another in this way)
dysphoria,disforia,"{n} /dɪsˈfɔːrɪə/ (state of feeling unwell, unhappy, restless or depressed)"
dyspnea,disnea {f},{n} (difficult respiration)
dysprosium,disprosio {m},{n} (chemical element)
dyssynchrony,asincronía {f}; disincronía {f},{n} (heart condition); {n} (neurological condition)
dystopia,distopía,{n} /ˈdɪsˌtəʊpɪiə/
dystrophic,distrófico,{adj} (affected with dystrophy)
dystrophy,distrofia {f},{n} (dystrophy)
éclat,esplendor,{n} /eɪˈklɑ/ (brilliant or successful effect)
e,e {f},"{n} /iː/ (name of the letter E, e)"
each,cada,{determiner} /it͡ʃ/ (every)
each and every,"todos y cada uno de {m}, todas y cada una de {f}",{determiner} (each without exception)
each other,"el uno al otro, entre si, mutuamente, se (+ 3rd person plural)",{pron} (to one another; one to the other)
eager,"impaciente, ilusionado, entusiasmado, ávido, anhelante",{adj} (excited by desire in the pursuit of any object)
eagerness,"avidez {f}, ansia {m}",{n} (The state or quality of being eager)
eagle,águila {f},{n} /ˈiːɡəl/ (Any of several large carnivorous birds in the family Accipitridae)
eagle owl,búho real {m},{n} /ˈiːɡəlˈɑʊl/ (large owl of genus Bubo)
eaglet,aguilucho {m},{n} (an eagle chick)
ear,"; espiga {f}; oreja {f}, oído {m}; arar; ",{n} (external part of the organ of hearing); {n} (fruiting body of a grain plant); {n} /ɪɹ/ (organ of hearing); {v} (archaic: to plough); {v} (plough)
earache,dolor de oído {m},{n} /ˈijɹejk/ (pain in the ear)
ear canal,conducto auditivo externo {m},{n} (tube or meatus running from the outer ear to the eardrum)
eardrum,tímpano {m},{n} /ˈi˞ˌdɹʌm/ (membrane separating outer and middle ears)
earl,conde {m},{n} /ɝl/ (a British nobleman)
earlap,; ,{n} (earflap); {n} (earlobe)
early,"prematuro, temprano; temprano, precoz; primero; temprano",{adj} (arriving at a time before expected); {adj} /ˈɝli/ (at a time in advance of the usual); {adj} (near the start or beginning); {adv} (at a time before expected)
early bird,"madrugador {m}, madrugadora {f}, alondra {f}",{n} (one who wakes early)
early riser,,{n} (early bird)
earmark,"reserva, asignación, destino; reservar, apartar, asignar, destinar",{n} (The designation of specific projects in appropriations of funding for general programs); {v} (to specify or set aside for a particular purpose)
earmuff,orejera {f},{n} (garment to keep the ears warm)
earn,"granjear, merecer; ganar; ganar; ganar",{v} (deserve); {v} (intransitive: receive money for working); {v} /ɝn/ (gain through applied effort or work); {v} (transitive: receive (money) for working)
earnest,serio; intención,"{adj} (important, serious); {adj} /ˈɜː(ɹ)nɪst/ (intent)"
earphone,auricular {m},{n} (sound device held near the ear)
earphones,"auriculares {m}, audífonos {m} {p}",{n} (small speakers worn over the ears)
earplug,"tapón {m}, tapón para los oídos {m}",{n} (protective clothing for the ear canal)
earring,"arete {m} [Latin America], arito {m} [El Salvador, Honduras], aro {m} [Argentina, Chile, Paraguay], caravana {f} [Uruguay], chapa {f} [Nicaragua], pantalla {f} [Puerto Rico], pendiente {m} [Spain], zarcillo {m} [Spain's Canary Islands and Venezuela - recessive usage in Southern Spain]",{n} (piece of jewelry)
earth,"tierra {f}; tierra {f}; madriguera {f}; tierra {f}; tierra {f}; tierra {f}, suelo {m}; terreno {m}, tierra {f}; ; conectar a tierra","{n} (any general rock-based material); {n} (electrical connection); {n} (fox's lair); {n} (one of the five basic elements); {n} (one of the four basic elements); {n} (soil); {n} (the ground, land); {prop} /ɝθ/ (our planet, third out from the Sun); {v} (connect electrically to the earth)"
Earth,"la Tierra, tierra {f}",{prop} /ɜː(ɹ)θ/ (third planet from the Sun)
Earth Day,Día de la Tierra {m},{prop} (global day of observance of the need to protect the earth)
earthenware,"loza {f}, cerámica {f}",{n} (ceramic)
Earthling,"terrícola {m} {f}, terrestre {m} {f}, terráqueo {m}",{n} /ˈɜː(ɹ)θ.lɪŋ/ (inhabitant of the planet Earth)
earthmoving,movimiento de tierras,{adj} (construction: designed to move large quantities of earth)
earthquake,"terremoto {m}, temblor {m}, chaka {f}",{n} /ˈəːθkweɪk/ (shaking of the surface of a planet)
earthshine,luz cenicienta {f},{n} (reflected Earthlight)
earthworm,"mala persona; lombriz de tierra, gusano de tierra {m}",{n} (person); {n} (worm)
earwax,"cerumen {m}, cerilla {f}",{n} (waxy substance secreted by the ear)
earwig,tijereta {f},{n} (the insect)
easel,"caballete {m}, atril {m}",{n} /ˈi.zəl/ (upright frame for displaying or supporting something)
easement,servidumbre,{n} /ˈiːzmənt/ (legal right to use another person's property)
easier said than done,del dicho al hecho hay mucho trecho,"{adj} (easy to propose, but difficult to accomplish)"
easily,fácilmente,{adv} /iː.zə.liː/ (without difficulty)
east,"oriental, (con) rumbo este, (con) rumbo al este/oriente, hacia el este/oriente, hacia oriente, al este/oriente.; este {m}, oriente {m}, levante {m}",{adv}; {n} /iːst/ (compass point)
East,oriente,{prop} (Eastern world)
East Asia,Asia del Este,{prop} (the Far East)
East China Sea,mar de China Oriental {m},{prop} (a sea)
Easter,pascua {f},{n} /ˈiː.stɚ/ (Christian holiday)
Easter Bunny,conejo de Pascua {m},{prop} /ˈiːs.tɚ ˈbʌ.ni/ (Symbolic rabbit sometimes depicted delivering Easter eggs to children)
Easter egg,huevo de Pascua {m},{n} /ˈiː.stɚ ˌɛɡ/ (A dyed or decorated egg)
Easter Island,Isla de Pascua {f},{prop} (Island in the Pacific)
eastern,oriental,{adj} /ˈiːstə(r)n/ (related to the east)
Eastern Arabic,,{prop} (Levantine Arabic)
Eastern Europe,Europa Oriental {f},{prop} (Eastern Europe)
eastern jackrabbit,,{n} (European hare)
East Sea,; ; ; ; ,{prop} (Baltic sea); {prop} (Dead Sea); {prop} (East China Sea); {prop} (Sea of Japan); {prop} (South China Sea)
East Timor,Timor Oriental {m},{prop} (Country in Oceania)
East Timorese,timorense {m} {f}; timorense {m} {f},"{adj} (of, from, or pertaining to East Timor or the East Timorese people); {n} /ˈiːst tɪ.mə(ɹ).iːz/ (person from East Timor or of East Timorese descent)"
easy,fácil; ; fácil,{adj} (consenting readily to sex); {adj} /ˈiːzi/ (comfortable); {adj} (requiring little skill or effort)
easy chair,tumbona {f},{n} (a comfortable chair)
easy does it,"no te apresures, con cautela",{interj} (do something gently or slowly)
easygoing,"calmado {m}, relajado {m}",{adj} (casual and informal)
eat,comer; comer,{v} (eat a meal); {v} /it/ (consume)
eatable,,{adj} (able to be eaten)
eater,comedor {m},{n} (one who eats)
eatery,comedor {m},"{n} (a restaurant or café, etc.)"
eat humble pie,tragarse las palabras,{v} (to admit one's faults)
eat like a bird,comer como un pajarito,{v} (to eat small amounts)
eat like a horse,comer como un animal,{v} (eat large amounts)
eat one's hat,que me maten si,{v} (to express disbelief about a proposition)
eaves,alero {m},{n} (underside of a roof)
eaw,rebuzno {m},{interj} (the sound of a donkey)
ebb,"reflujo {m}, marea {f}; marea baja {f}",{n} /ɛb/ (receding movement of the tide); {n} (low tide)
ebonite,ebonita {f},{n} /ˈebəˌnaɪt/ (product of vulcanizing rubber with sulfur)
ebony,de ébano; ébano {m}; ébano; ébano,{adj} (made of ebony wood); {n} (colour); {n} /ˈɛb.ən.i/ (wood); {n} (tree)
Ebro,Ebro {m},{prop} (Spanish river)
ebullioscope,ebulloscopía {f},{n} (an instrument used to measure the boiling point of liquids)
ECB,BCE,{initialism} (European Central Bank)
Ecbatana,Ecbatana {f},{prop} /ɛkˈbætənə/ (city in Iran)
eccentric,excéntrico,{adj} /ɛkˈsɛntrɪk/ (deviating from the norm)
ecchymosis,; equimosis {f},{n} /ˌɛk.ɪˈmoʊ.sɪs/ (skin discoloration); {n} (leaking of blood into the tissues of the body as a result of a bruise)
ecclesiastical,eclesiástico,{adj} /əˌkliziˈæstəkəl/ (pertaining to the church)
Ecclesiastical Latin,Latín Eclesiástico,{prop} (Latin language)
ecclesiology,eclesiología {f},{n} (branch of theology)
echelon,escalón; escalón; escalonar,"{n} (A formation of troops); {n} /ˈɛkəlɒn/ (A level or rank in an organization, profession, or society); {v} (To form troops into an echelon)"
echidna,equidna,{n} /ʔəˈkɪdnə/ (any of the four species of small spined monotremes)
echinoderm,equinodermo {m},{n} (member of the Echinodermata)
echo,"eco {m}; repercutir, repetir",{n} /ˈekəʊ/ (a reflected sound that is heard again by its initial observer); {v} (to repeat back what another has just said)
echolalia,ecolalia {f},{n} (echoing of words or phrases)
echolocation,ecolocalización {f},{n} (use of echos to detect objects)
eclectic,"ecléctico {m}; heterogéneo, heteróclito disparatado; ecléctico","{adj} /ɛkˈlɛk.tɪk/ (selecting a mixture of what appear to be best of various doctrines, methods or styles); {adj} (unrelated and unspecialized; heterogeneous); {n} (one who selects by the eclectic method)"
eclipse,eclipse {m}; eclipsar; eclipsar,{n} /ɛˈklɪps/ (passage of a planetary object between others); {v} (To cause an eclipse); {v} (To overshadow)
ecliptic,eclíptica {f},{n} /ɪˈklɪp.tɪk/ (Earth's orbital plane)
eclogite,eclogita {f},{n} /ˈɛklədʒʌɪt/ (coarse-grained rock)
eclogue,égloga {f},{n} (pastoral poem)
ecologic,,{adj} (related to ecology)
ecological,ecológico,{adj} /ˌiːkəˈlɒd͡ʒɪkl̩/ (relating to ecology)
ecologically,ecológicamente,{adv} (in an ecological manner)
ecologist,"ecólogo {m}, ecóloga {f}",{n} (A scientist who studies ecology)
ecology,ecología {f},{n} /i.ˈkɑ.lə.dʒi/ (branch of biology)
econometrician,económetra {m} {f},{n} (expert in econometrics)
econometrics,econometría {f},{n} (branch of economics)
economic,económico {m},{adj} /ˌɛkəˈnɑmɪk/ (pertaining to an economy)
economically,económicamente; económicamente,{adv} (in an economical manner); {adv} (in an economic or profitable manner)
economic crisis,,{n} (period of economic slowdown)
economics,economía {f},{n} (study)
economist,economista {m},{n} (expert in economics)
economy,economía {f}; economía {f}; economía {f},{n}; {n} /iːˈkɒn.ə.mi/ (effective management of the resources of a community or system); {n} (production and distribution and consumption)
ecosystem,ecosistema,{n} (system of an ecological community and its environment)
ecotone,ecotono,{n} /ˈiːkətəʊn/ (a region of transition)
ecru,,{adj} (beige)
ecstasy,éxtasis {f}; éxtasis {m}; éxtasis {f}; éxtasis {m}; éxtasis {f},{n} (drug); {n}; {n} (intense emotion); {n} (intense pleasure); {n} (trance associated with mystic or prophetic exaltation)
ecstatic,extasiado {m},{adj} (Feeling or characterized by ecstasy)
ectoparasite,ectoparásito,{n} (parasite living on the surface of host organism)
ectoplasm,ectoplasma,{n} /ˈɛktəˌplæzəm/ (parapsychology: visible substance believed to emanate from spiritualistic mediums)
Ecuador,Ecuador {m},{prop} /ˈɛk.wə.dɔɹ/ (country in South America)
Ecuadorian,ecuatoriano {m}; ecuatoriano {m},{adj} (pertaining to Ecuador); {n} (person from Ecuador)
Ecuadorianism,ecuatorianismo {m},{n}
ecumenic,,{adj} /iːkjuːˈmɛnɪk/ (ecumenical)
ecumenical,ecuménico,{adj} /ˌɛk.jʊˈmɛ.nɪ.kəl/
ecumenism,ecumenismo {m},{n} (philosophy)
eczema,"eczema {m}, eccema {m}",{n} (acute or chronic inflammation of the skin)
eddy,"contracorriente {f}, revesa {f}, remolino {m}",{n} /ˈɛd.i/ (air or water running in an opposite direction to the main current)
edema,"edema {m}; edema {m}, hidropesía {f}",{n}; {n} (excessive accumulation of serum in tissue)
Eden,edén {m}; edén {m},{prop} (A garden built by God as the home for Adam and Eve); {prop} (A paradise on Earth; a state of innocence)
edentulous,,{adj} /iˈdɛnt.jʊ.ləs/ (toothless)
Edgar,Edgardo,{prop} (male given name)
edge,"ventaja {f}; borde {m}; orilla {f}, borde {m}; lado {m}; arista {f}; filo {m}",{n} (an advantage); {n} (any sharp terminating border; a margin; a brink; extreme verge); {n} /ɛdʒ/ (boundary line of a surface); {n} (joining line between two vertices of a polygon); {n} (place where two faces of a polyhedron meet); {n} (thin cutting side of the blade of an instrument)
edible,comestible,{adj} /ˈɛd.ɪ.bəl/ (that can be eaten without harm; suitable for consumption)
edict,edicto {m},{n} /ˈiː.dɪkt/ (a proclamation of law)
Edinburgh,Edimburgo {m},{prop} /ˈɛdənbərə/ (capital of Scotland)
edit,editar,"{v} /ˈɛdɪt/ (to change a text, or a document)"
editing,[cinematography] montaje {m},{n} (an act or instance of something being edited)
edition,"edición {f}; edición {f}, tiraje {m}",{n} /əˈdɪʃən/ (literary work); {n} (whole set of copies)
editorial,editorial; editorial {m},"{adj} (of or relating to an editor, editing, or an editorial); {n} (article giving the opinion of editors)"
editorialize,editorializar,{v} (to express ones opinion as if in an editorial)
editor in chief,jefe de redacción,{n} (highest ranking editor)
edit war,guerra de ediciones {f},{n} (a dispute over the content of a page on a wiki or other editable work)
Edmonton,Edmonton,{prop} (city in Canada)
Edmund,Edmundo,{prop} (male given name)
educate,"educar, instruir",{v} (to instruct or train)
education,educación {f}; educación {f},"{n} /ˌɛdʒʊˈkeɪʃn]/ (process or art of imparting knowledge, skill and judgment); {n} (facts, skills and ideas that have been learned, either formally or informally)"
educational,educativo {m},{adj} /ˌɛdʒʊˈkeɪʃənəl/ (Of or pertaining to education)
educative,educativo,{adj} (educational)
educator,,{n} (teacher)
educe,educir; educir,{v} (To)
Edward,Eduardo,{prop} /ˈedwəd/ (male given name)
eek,chirrido {m},{interj} /iːk/ (scream or shriek)
eel,; anguila {f},{n} (Anguilla anguilla); {n} /iːl/ (any fish of the order)
eerie,"misterioso, extraño",{adj} /ˈɪɹi/ (weird)
Eeyore,Igor,{prop} /ˈiː.jɔː(r)/ (negative or pessimistic person)
ef,efe {f},"{n} (name of the letter F, f)"
efface,borrar,{v} (to erase)
effect,"efecto {m}; efectos {m} {p}, efectos especiales {m} {p}; efecto {m}; efectuar",{n} /ɪˈfɛkt/ (result of an action); {n} (movie and television industries term); {n} (scientific phenomenon); {v} (to make or bring about; to implement)
effecter,,{n} (effector)
effectually,eficazmente,{adv} /ɪˈfɛktʃuːəli/ (in such a way as to achieve a desired result)
effeminate,"afeminado, amanerado","{adj} /ɛˈfɛmɪnət/ (of a man, behaving like a woman)"
effeminately,afeminadamente,{adv} (in an effeminate manner)
effervescence,efervescencia {f},{n} (the escape of gas from solution in a liquid)
effervescent,efervescente; efervescente,{adj} /ˌɛfɚˈvɛsənt/ (fizzy); {adj} (enthusiastic)
efficacy,eficacia {f},{n} /ˈɛf.ɪ.kə.si/ (ability to produce effect)
efficiency,eficiencia {f},{n}
efficient,eficiente; eficiente,{adj}; {adj} (making good use of resources)
efficiently,eficientemente,{adv} (in an efficient manner)
effigy,efigie {f}; efigie {f},{n} /ɛfədʒi/ (dummy or other crude representation); {n} (likeness of a person)
effluvium,efluvio,"{n} /ɪˈfluviəm/ (A gaseous or vaporous emission, especially a foul-smelling one)"
effort,ahínco {m}; esfuerzo {m}; ,{n}; {n} /ˈɛfɚt/ (the amount of work involved in achieving something); {n} (endeavour)
effortless,"fácil, nada penoso, sin esfuerzo",{adj} (without effort)
effortlessly,fácilmente,{adv} (without effort; without difficulty or struggle)
effrontery,desfachatez {f},{n} /ɪˈfɹʌntəɹi/ (insolent and shameless audacity)
effusion,efusión {f}; efusión {f},{n} (outpouring of liquid); {n} (outpouring of speech or emotion)
effusive,efusivo,{adj} /ɪˈfjuːsɪv/ (extravagant or excessive)
e.g.,por ejemplo,{adv} /iːdʒiː/ (abbreviation for “for example”)
egalitarian,igualitario,{adj} /ɪˌɡæl.ɪˈtɛɹ.i.ən/ (characterized by social equality and equal rights for all people)
egg,huevo {m}; huevo {m}; huevo {m}; óvulo {m},{n} (culinary ingredient); {n} /ɛɡ/ (body housing an embryo); {n} (egg of domestic fowl as food item); {n} (ovum)
eggar,polilla {f},{n} (moth)
eggbeater,,{n} (eggwhisk)
egg cell,,{n} (ovum)
egghead,"cara de huevo {f}, lumbrera {f}, cerebrito {m}",{n}
eggnog,licor de huevos {m},{n} /ˈɛɡ.nɑɡ/ (alcoholic beverage)
eggplant,berenjena {f}; berenjena {f},{n} (edible fruit); {n} (plant)
egg roll,rollo de huevo {m},{n} (egg roll)
egg salad,ensalada de huevo,{n} (dish made of hard-boiled eggs)
eggwhisk,batidor de huevos {m},{n} (utensil)
egg white,,{n} (albumen)
egg yolk,yema {f},{n} (central part of an egg)
ego,ego {m},{n} (the self)
egocentric,egocéntrico,{adj} (egotistical)
egoism,egoísmo {m},{n} (tendency to think of self)
egoist,egoísta {m}; ,{n} (advocate of egoism); {n} (egoist)
egotist,egotista {m} {f},{n} (he who is egotistical)
egregious,flagrante,"{adj} /ɪˈɡriː.dʒəs/ (Exceptional, conspicuous, outstanding, most usually in a negative fashion)"
egress,salida {f},{n} /ˈiːɡrɛs/
egret,"garza {f} [Ardea], garcita {f} [Egretta]",{n} /ˈi.gɹɪt/ (Any of various wading birds of the genera Egretta or Ardea)
Egypt,Egipto {m},{prop} /ˈiː.dʒɪpt/ (country in North Africa)
Egyptian,"egipcio; egipcio; egipcio {m}, egipcia {f}; egipcio {m}","{adj} /ɪˈdʒɪp.ʃən/ (of, from, or pertaining to Egypt); {adj} (of, from, or pertaining to Egyptians); {n} (person from Egypt); {prop} (language)"
Egyptian Arabic,árabe egipcio,{prop} (Egyptian Arabic)
Egyptian pyramid,pirámide egipcia {f},{n} (pyramidal tomb of ancient Egypt)
egyptology,,{n} (Egyptology)
Egyptology,egiptología {f},{n} (the study of ancient Egypt)
eh,"no; qué, cómo",{interj} /eɪ/ (used as a tag question); {interj} (used to mean “What?”)
eider,eider {m},{n} /ˈaɪdə/ (duck of genus)
eiderdown,edredón {m},{n} (a quilt stuffed with this down)
eidetic,eidético,{adj} /aɪˈdɛtɪk/ (pertaining to a memory of perfect clarity)
Eiffel Tower,torre Eiffel {f},{prop} (tower in Paris)
eigenfunction,"autofunción {f}, función propia {f}",{n} (function)
eigenmode,modo propio,{n} (physics)
