Spanish Word,Translation,Gender,Part-of-Speech
archibebe,"a sea-water wading bird, the common redshank",m,{noun}
archidiócesis,archdiocese,f,{noun}
archiduque,archduke (rank),m,{noun}
archiduquesa,archduchess (rank),f,{noun}
archienemigo,archenemy,m,{noun}
archipiélago,archipelago,m,{noun}
archipopular,superpopular,,{adj}
archivador,filing; filing clerk; archivist; filing cabinet,,{adj}; {noun}; {noun}
archivadora,feminine form of archivador,f,{noun}
archivar,to file or archive,,{v}
archivero,archivist,m,{noun}
archivo,archive; file,m,{noun}
arcilla,clay,f,{noun}
arcén,edge; shoulder (of a road),m,{noun}
arcángel,archangel,m,{noun}
arácnido,arachnid,m,{noun}
arco,arch; bow (weapon); arc; bow (used to play string instruments),m [architecture]; m; m [geometry]; m [music],{noun}
arco de triunfo,triumphal arch,m,{noun}
arco iris,rainbow,m,{noun}
arcoíris,rainbow,m,{noun}
arda,squirrel,f,{noun}
arder,"(manure) to rot; to be in a feverish state of excitement; to burn, to blaze; to burn, to sting, to smart",,{v}
ardid,"brave, courageous; astute, crafty; plot, trick",,{adj} [archaic]; {adj} [obsolete]; {noun}
ardiente,ardent; burning; hot,,{adj}
ardientemente,ardently,,{adv}
ardilla,squirrel,f,{noun}
ardor,ardour; burning (feeling); eagerness; heat,m,{noun}
ardoroso,ardent; burning,,{adj}
arduo,arduous; very difficult,,{adj}
a regañadientes,"reluctantly, grudgingly",adv [idiomatic],{noun}
arena,"bullfight arena; boxing ring; sand, gravel",f,{noun}
arena para gato,"kitty litter, cat litter",,{n}
arenero,"sandbox; sand dealer, sand vendor; sand trap",m,{noun}
arengar,to harangue,,{v}
arenisca,sandstone,f,{noun}
arenisco,sandy,,{adj}
arenoso,sandy,,{adj}
arenque,herring,m,{noun}
aéreo,aerial,,{adj}
arepa,A pancake made out of cornmeal and often filled with meat,f,{noun}
arequipe,dulce de leche,"m [Colombia, Venezuela]",{noun}
aretalogía,aretology,f,{noun}
arete,earring,m [Latin America],{noun}
Arevalo,A surname,,{prop}
arfil,bishop (chess piece),m,{noun}
argamasa,"mortar, cement",f,{noun}
Argel,Algiers,,{prop}
Argelia,Algeria (country),,{prop}
argelino,Algerian; Algerian,,{adj}; {noun}
argüende,"gossip; noisy event, happening or action; struggle, dispute",m [Mexico],{noun}
argüendear,to gossip,,{v} [Mexico]
argentina,feminine form of argentino,f,{noun}
Argentina,Argentina,,{prop}
argentinidad,Quality or condition of being Argentinian,f,{noun}
argentino,"Argentinian, Argentine; Argentinian (person)",,{adj}; {noun}
argento,silver,m [poetic],{noun}
arginina,arginine,f,{noun}
argüir,"to infer, to imagine",,{v}
argón,argon,m,{noun}
argolla,croquet; large ring; staple,f [games]; f; f,{noun}
Argonautas,Argonauts,prop [Greek mythology],{noun}
argot,"slang, argot",m,{noun}
argucia,"quibble, squabble; spuriousness",,{n}
argumentación,argument,f,{noun}
argumentar,to argue (make a case for a point of view); to dispute,,{v}
argumento,"argument; plot, story line",m,{noun}
aria,aria,f,{noun}
ariano,Arian 2. one whose star sign is Aries,m,{noun}
Arica,Arica (the Chilean city),,{prop}
aridez,"aridity, dryness",f,{noun}
aridización,aridification,f,{noun}
Ariel,male given name of biblical origin,,{prop}
Aries,(constellation),,"{prop} [l/en, Aries]"
arietar,To ram (to strike with an implement),,{vt} [rare]
ariete,battering ram,m,{noun}
arilo,aril,m,{noun}
arista,arris; arête; edge (place where two faces of a polyhedron meet),f [architecture]; f; f [geometry],{noun}
aristócrata,aristocrat,mf,{noun}
Aristófanes,Aristophanes,,{prop}
aristocracia,aristocracy,f,{noun}
aristocráticamente,aristocratically,,{adv}
aristocrático,aristocratic,,{adj}
aristofanesco,Aristophanean,,{adj}
aristofánico,Aristophanean,,{adj}
aristotélico,Aristotelian,,{adj}
Aristóteles,Aristotle,,{prop}
aritenoideo,arytenoid,m,{noun}
aritmética,"(female) arithmetician; arithmetic (mathematics of numbers, etc.)",f; f [mathematics],{noun}
aritmético,"arithmetic, arithmetical; arithmetician",,{adj}; {noun}
Arizona,,,"{prop} [l/en, Arizona]"
Arkansas,,,"{prop} [l/en, Arkansas]"
arma,weapon,f,{noun}
arma blanca,"bladed weapon; knife, sword etc",f,{noun}
armada,fleet; navy,f,{noun}
arma de fogueo,flare gun; starting pistol,f,{noun}
arma de fuego,firearm,f,{noun}
armadillo,armadillo,m,{noun}
armado,armed,,{adj}
armadura,"armour; frame, framework; skeleton",f,{noun}
armamento,"armament, weaponry, weapons, arms; equipment",m,{noun}
Armando,"male given name, cognate to English Herman via French Armand",,{prop}
arma nuclear,nuclear weapon,f,{noun}
armar,to arm (supply with weapons); to provoke,,{v}
armario,closet; cupboard; locker,m,{noun}
armar la de Dios es Cristo,"To raise hell, create an almighty fuss",v [idiomatic],{noun}
armar la de San Quintín,to raise Cain; to start a fight,,{phrase}
armazón,"assemblage; frame, framework; frame, skeleton; housing, armature",f; m; m,{noun}
Armenia,,"prop [l/en, Armenia]",{noun}
armenio,"Armenian (of, from, or pertaining to Armenia, Armenians, the language or alphabet); Armenian (person)",,{adj}; {noun}
armería,"armoury, armory; gun shop",f,{noun}
armero,armorer; gunsmith,m,{noun}
armiño,ermine,m,{noun}
armisticio,armistice,m,{noun}
armónica,harmonica,f,{noun}
armónico,harmonic,,{adj}
armonía,harmony,f,{noun}
ARN,"RNA, ribonucleic acid",initialism [genetics],{noun}
arándano,"blueberry, bilberry, cranberry",m,{noun}
arándano azul,blueberry,m,{noun}
arándano rojo,cranberry,m,{noun}
arándano ártico,lingonberry,,{n}
arándano silvestre,lingonberry,m,{noun}
arnés,harness,m,{noun}
arnés pene,strap-on,,{n}
aro,earring; hoop; large ring,"m [Argentina, Chile, Paraguay]; m; m",{noun}
aroma,aroma,m,{noun}
aromatasa,aromatase,f [enzyme],{noun}
aromaticidad,aromaticity,f,{noun}
aromático,aromatic,,{adj}
arpa,harp (musical instrument),f,{noun}
arpía,"harpy; bitch, vixen, or shrew","f; f [vulgar, derogatory]",{noun}
arpegio,arpeggio,m,{noun}
arpillera,sackcloth,f,{noun}
arpón,harpoon,m,{noun}
arponear,to harpoon,,{v}
arponero,harpooner,m,{noun}
arquear,to arch,,{v}
arqueólogo,archeologist,m,{noun}
arqueológico,archeological,,{adj}
arqueología,archaeology,f,{noun}
arquería,archery,f,{noun}
arquero,archer; goalkeeper,m; m [sports],{noun}
arquetipo,archetype,m,{noun}
arquetípico,archetypal,,{adj}
arquidiócesis,archdiocese,f,{noun}
arquiepiscopal,archiepiscopal,,{adj}
arquimediano,Archimedean,,{adj}
arquitectónico,"architectural, architectonic",,{adj}
arquitecto,architect,m,{noun}
arquitectura,architecture,f,{noun}
arquitrabe,architrave,f [architecture],{noun}
Arquímedes,Archimedes,,{prop}
arracacha,"A South American plant grown as a root vegetable, Arracacia xanthorrhiza",f,{noun}
arracache,arracacha,m [Costa Rica],{noun}
arrachera,beef cut from the diaphragm,f [Mexico],{noun}
arraigar,to establish; to settle; to take root,,{v}
arrancada,An act of pulling away; snatch,f; f [weightlifting],{noun}
arrancar,"to run away; to pull out; to rip, to tear; to start",,{vr}; {v}; {v}; {v}
arranque,startup; snatch,m; m [weightlifting],{noun}
arrasamiento,devastation,m,{noun}
arrasar,to devastate,,{v}
arrastrado,dragged; humiliated,,{adj}
arrastrar,"to put oneself out; to drag; to drag along; to incite; to pull, tow",,{vr}; {v}; {v}; {v}; {v}
arrastre,trawling,m,{noun}
arre,"gee up, giddyup",,{interj}
arrea,get moving!,,{interj}
arrear,to harness; to urge,,{v}
arrebatado,flushed (color); impassioned; passionate,,{adj}
arrebatador,captivating (beautiful),,{adj}
arrebatadoramente,captivatingly,,{adv}
arrebatamiento,"rage, anger; snatching, taking",m,{noun}
arrebatar,to snatch; to captivate (with beauty),,{vt} [ditransitive]; {vt}
arrebato,"outburst; rage, anger",m,{noun}
arrebujar,to wrap up,,{v}
arreciar,"to intensify; get stronger, worse, more severe etc",,{v} [ergative]
arrecife,reef,m,{noun}
arreglar,to adjust; to arrange; to fix; to repair; to straighten,,{v}
arreglo,"adjustment; arrangement; compromise; array; grooming, personal care; repair",m; m [computing]; m; m,{noun}
arremeter,to attack,,{v}
arrendajo,"Eurasian jay (Garrulus glandarius); jay, jaybird",m,{noun}
arrendar,to rent,v [Latin America],{noun}
arrepentido,repentant,,{adj}
arrepentimiento,repair made on a painting; repentance,m,{noun}
arrepentir,"to regret, repent",,{vr}
arrestado,arrested,,{adj}
arrestar,to arrest,,{v}
arresto,arrest,m,{noun}
arrezuz,"liquorice (plant, confection)",m,{noun}
arriar,to flood,,{v}
arriba,"above, over; upstairs; come on!; hurray for (someone)!",,{adv}; {interj}; {interj}
arribar,to arrive,,{v}
arribista,social climber,m,{noun}
arribo,arrival,m,{noun}
arriesgado,"daring; risky, dangerous",,{adj}
arriesgar,to venture; to risk,,{v}
arrimar,to draw near,,{v}
arrinconar,"to corner; to shelve, to abandon a project",,{v}
arritmia,arrhythmia (irregular heartbeat),f,{noun}
arroba,"An ancient unit of measure of weight or volume, still used in some contexts in Spain, Portugal and Latin America. The exact amount varies by country, region and the substance being measured, being e.g. about 11.5 kg in most of Spain but 16.3 kg in Aragon, 13 kg as measure of oranges in Valencia and 16.1 liters as measure of wine; The ‘@’ symbol, used to signify this unit",f,{noun}
arrobar,to enrapture,,{v}
arrocera,"rice mill; paddy, rice paddy (field where rice is grown); feminine form of arrocero","f [Costa Rica, Cuba, Uruguay]; f [Cuba]; f",{noun}
arrocero,rice [attributive]; rice farmer,,{adj}; {noun}
arrodillar,to kneel down; to make someone kneel,,{vr}; {vt}
arrodillarse,"(reflexive form of arrodillar) to kneel, to kneel down",,{vr}
arrogancia,arrogance,f,{noun}
arrogante,arrogant,,{adj}
arrogantemente,arrogantly,,{adv}
arrogar,"to adopt; to ascribe, arrogate",,"{vt} [legal]; {vtr} [ditransitive, usually]"
arrogarse,To arrogate to oneself,,{v}
arrojar,to emit; to erupt; to fling or hurl; to shed; to yield,,{v}
arrollar,"to dumbfound; to roll, to roll away; to sweep away; to wind",,{v}
arromar,"to make blunt, to make dull",,{v}
arropar,to clothe,,{v}
arroyo,"stream, brook, creek [whether it flows year-round or only seasonally]",m,{noun}
Arroyo,Spanish surname,,{prop}
arroz,rice,m,{noun}
arrozal,"paddy, rice paddy (field where rice is grown)",m,{noun}
arroz con leche,"A Spanish dessert made with rice, milk and sugar. It is similar to rice pudding",m,{noun}
arroz tres delicias,special fried rice (rice with prawns and other ingredients),m,{noun}
arruar,to grunt,v [said of a boar],{noun}
arruga,wrinkle,f,{noun}
arrugado,"wrinkled, wrinkly",,{adj}
arrugar,"to chicken out, back down, lose one's nerve; to crease, to crumple; to wrinkle",,{vr}; {vt}; {vt}
arruinado,ruined,,{adj}
arruinar,to ruin,,{v}
arrullar,to lull,,{v}
arrullo,coo,m,{noun}
arrumbar,to take the bearings; to cast aside; to neglect,,{v} [nautical]; {v}; {v}
arsenal,arsenal,m,{noun}
arseniato,arsenate,m [inorganic chemistry],{noun}
arseniuro,arsenide,m,{noun}
arseniuro de galio,gallium arsenide,m,{noun}
arsi,Tocharian A,,{n}
arsénico,arsenic,m,{noun}
artículo,article,m,{noun}
artículo de consumo,commodity,m,{noun}
artículo definido,definite article,m [grammar],{noun}
artículo indefinido,indefinite article,m [grammar],{noun}
arte,art; skill,mf,{noun}
artefacto,artefact,m,{noun}
artejo,knuckle,m,{noun}
arte marcial,martial art,m,{noun}
arte pop,pop art,m [arts],{noun}
arteria,artery,f [anatomy],{noun}
arterial,; relating to an artery,,"{adj} [l/en, arterial]"
arteriología,arteriology,f [anatomy],{noun}
arteriosclerosis,arteriosclerosis,f,{noun}
artero,artful,,{adj}
artesanía,"handicraft, craftwork",f,{noun}
artesanal,artisanal,,{adj}
artesano,artisanal; artisan,,{adj}; {noun}
artífice,"craftsman, artificer",mf,{noun}
aórtico,aortic,,{adj}
articulación,articulation,f,{noun}
articulado,articulate,,{adj}
articular,articular; to articulate,,{adj}; {v}
artificial,,"adj [l/en, artificial]",{noun}
artificialmente,artificially,,{adv}
artificio,"artifact (man-made object); artifice, trick; craft; skill",m,{noun}
artillería,artillery,f,{noun}
artillero,artilleryman; drunkard,m; m [Bolivia],{noun}
artilugio,"contraption, device",,{n}
artimaña,trick,f,{noun}
artista,artist,mf,{noun}
artritis,arthritis,f [pathology],{noun}
artroplastia,arthroplasty,f,{noun}
artroscopia,arthroscopy,f [surgery],{noun}
artrópodo,arthropod,m,{noun}
artrítico,arthritic,,{adj}
artísticamente,artistically,,{adv}
artístico,artistic,,{adj}
Arturo,"male given name, equivalent to Arthur",,{prop}
aruñar,alternative form of arañar,,{v}
arveja,pea; vetch,"f [Latin America, Canary Islands]; f",{noun}
arzobispado,archbishopric (all senses),m,{noun}
arzobispal,archepiscopal,,{adj}
arzobispo,archbishop,m,{noun}
así,like this; like that; as such; thus; so,,{adv}
as,An ace; somebody very proficient at an activity; An ace; in a game of cards,m; m [card games],{noun}
asa,handle,f,{noun}
asado,broiled; roast; roast,,{adj}; {noun}
asaeteador,archer,m,{noun}
asaetear,"to attack, to pierce, to kill with arrows",,{v}
asalariado,"salaried, with a salary",,{adj}
asaltante,"raider, burglar",mf,{noun}
asaltar,"to strike suddenly (a thought, an illness, death, etc.); to assault, to assail, to attack; to storm",v [figuratively],{noun}; {v}; {v}
asalto,assault,m,{noun}
a salvo,safe and sound,,{adj}
asamblea,"assembly, meeting",f,{noun}
asar,"To be roasting, to feel very hot; To pester, to plague; To roast",,{vr}; {v}; {v}
asarona,asarone,f [organic compound],{noun}
asarse,reflexive form of asar,,{vrr}
asbesto,asbestos,m,{noun}
ascacoyote,Anteater,m,{noun}
ascaridol,ascaridole,m [organic compound],{noun}
ascasuchil,A kind of flowering plant,m,{noun}
ascendencia,ancestry,f,{noun}
ascendente,"ascending, upward",,{adj}
ascender,"to advance; (status) to rise; to ascend, to mount, to climb",,{v} [business]; {v}; {v}
ascendiente,ancestor; ascendancy,mf,{noun}
ascensión,ascension,f,{noun}
Ascensión,female given name,,{prop}
ascenso,ascent; promotion,m,{noun}
ascensor,"elevator, lift",m,{noun}
asceta,ascetic,mf,{noun}
ascetismo,asceticism,m,{noun}
asco,disgust; nausea,m,{noun}
ascorbato,ascorbate,m [organic compound],{noun}
ascórbico,ascorbic,,{adj}
ascético,ascetic,,{adj}
ascua,ember,f,{noun}
Asdi,"Sida, Agencia Sueca de Cooperación Internacional para el Desarrollo",,{abbr}
aseado,neat,,{adj}
asear,to wash,,{v}
asechanza,a trap,f,{noun}
asechar,to set a trap,,{vt}
asediar,to besiege,,{v}
asedio,siege,m,{noun}
asegurado,made certain,,{adj}
asegurador,insurer,m,{noun}
aseguradora,insurance (company),f,{noun}
aseguramiento,assurance,m,{noun}
asegurar,to maintain,,{v}
asegurarse,to make sure,,{v}
asemejar,to be similar; to make similar,,{vr}; {v}
asentadero,seat (place on which to sit),m,{noun}
asentado,"permanent, stable; settled",,{adj}
asentamiento,settlement,m,{noun}
asentar,to settle (as in inhabit),,{v}
asentimiento,assent,m,{noun}
asentir,"to nod, assent",,{v}
aseo,cleaning; tidiness; toilet,m,{noun}
asequible,affordable; approachable,,{adj}
Aser,Asher (Biblical character and tribe),,{prop}
aserradero,sawmill,m,{noun}
aserrín,sawdust,m,{noun}
asesina,feminine form of asesino; murderess,f,{noun}
asesinado,murdered,,{adj}
asesinar,to murder,,{v}
asesinato,"assassination; murder, homicide",m,{noun}
asesino,murderous; murderer; traitor,,{adj}; {noun}; {noun}
así es la vida,"c'est la vie, that's life",,{phrase}
asesor,"advisor, consultant",m,{noun}
asesorar,to advise,,{v}
asestar,to aim; to shoot,,{v}
aseverar,to assert,,{v}
asexual,asexual; asexual,,{adj}; {noun}
asexualidad,asexuality,f,{noun}
asfaltar,to pave,,{v}
asfalto,asphalt,m,{noun}
asfixia,asphyxia,f [pathology],{noun}
asfixiante,"suffocating, asphyxiating",,{adj}
asfixiar,to asphyxiate,,{v}
asférico,aspheric,,{adj}
Asia,,,"{prop} [l/en, Asia]"
Asia Sudoeste,Southwest Asia,,{n}
asidero,handle,m,{noun}
asiduidad,"assiduity, assiduousness",f,{noun}
asiduo,assiduous,,{adj}
asiento,seat,m,{noun}
asignación,"allowance, salary",f,{noun}
asignar,to assign,,{v}
asignatura,subject (particular area of study),f,{noun}
asilado,asylee,m,{noun}
asilar,to provide asylum,,{v}
asilo,"asylum (home); asylum (political); shelter, refuge",m,{noun}
asimetría,asymmetry,f,{noun}
asimilación,assimilation,f,{noun}
asimilar,to assimilate,,{v}
asimismo,likewise,,{adv}
asimétrico,asymmetrical,,{adj}
asinino,asinine; donkey (attributive),,{adj}
asintomático,asymptomatic,,{adj}
asintóticamente,asymptotically,,{adv}
asintótico,asymptotic,,{adj}
asir,to cling to; to grab; to seize,,{vt}
asistencia,assistance,f,{noun}
asistente,assistant,m,{noun}
asistido,mechanically assisted,,{adj}
asistir,to attend,,{v}
asiática,Asian woman (person from or descended from people from the Indian sub-continent),f,{noun}
asiático,Asian; Asian (person from or descended from people from the Indian sub-continent),,{adj}; {noun}
asma,asthma,f [pathology],{noun}
asmático,asthmatic; asthmatic,,{adj}; {noun}
asnal,Brutish; bestial; Of or pertaining to donkeys,,{adj}
asno,"donkey, ass; dumbass; ass","m; m [slang, pejorative]",{noun}
asíntota,asymptote,f [geometry],{noun}
asociación,association,f,{noun}
asociar,to associate,,{v}
asolar,"to ravage, destroy",,{vt}
a solas,on one's own,adv [idiomatic],{noun}
asolear,to sun,,{v}
asomar,to show,,{v}
asomarse,To lean,,{vr}
asombrado,astonished,,{adj}
asombrar,to amaze,,{v}
asombro,"amazement, astonishment",m,{noun}
asombroso,"astonishing, amazing",,{adj}
aspa,"cross, St. Anthony's cross; hasp; saltire; horn (South American Spanish); intersection of two veins; spool, reel (yarn); vane, sail (of windmill); wheel; z-shaped figure",f; f [heraldry]; f; f [mining]; f; f; f; f,{noun}
asparagina,asparagine,f [amino acid],{noun}
aspartamo,aspartame,m [organic compound],{noun}
aspartato,aspartate,m [organic compound],{noun}
aspaviento,"fuss, ado",m [also in the plural],{noun}
aspavientos,"fuss, ado",mp,{noun}
aspecto,"appearance, look; aspect",m,{noun}
asperilla,woodruff,f,{noun}
aspiración,"aspiration, suction",f,{noun}
aspirada,aspirate,f,{noun}
aspirado,"aspirated, aspirate",,{adj}
aspiradora,vacuum cleaner,f,{noun}
aspirante,aspiring; aspirant,,{adj}; {noun}
aspirar,"to aspire, to desire to be; to inhale; to vacuum",,{v}
aspirina,aspirin,f,{noun}
aspro,A particular Turkish currency; the asper,m,{noun}
aspártico,aspartic,,{adj}
aséptico,aseptic; unemotional,,{adj}
así que,so,,{conj}
asqueado,"nauseous, disgusted",,{adj}
asquear,"to disgust, to cause disgust",,{vi}
asqueroso,disgusting,,{adj}
asta,bar; flagstaff; horn; lance,f,{noun}
astado,horned,m,{noun}
astato,astatine,m,{noun}
astaxantina,astaxanthin,f [organic compound],{noun}
astenosfera,asthenosphere,f,{noun}
asterisco,asterisk,m,{noun}
asterismo,"asterism, constellation (small group of stars)",m [astronomy],{noun}
asteroide,"starlike, star-shaped; asteroid",,{adj}; {noun}
astil,shaft (of an arrow),m,{noun}
astilla,splinter,f,{noun}
astilladora,woodchipper,f,{noun}
astillar,to splinter,,{v}
astillas,kindling,fp,{noun}
astillero,shipyard,m,{noun}
astrafobia,astraphobia,f,{noun}
astral,astral,,{adj}
astreñir,to constrict,,{v}
astringencia,astringency,f,{noun}
astringente,astringent; astringent,,{adj}; {noun}
astringir,to compel; to constrict,,{v}
astrólogo,astrologer,m,{noun}
astrónomo,astronomer,m,{noun}
astro,"cosmic body, celestial body",m,{noun}
astrobiología,astrobiology,f,{noun}
astroblema,astrobleme,m [geology],{noun}
astrofísica,astrophysics; (female) astrophysicist,f,{noun}
astrofísico,astrophysical; astrophysicist,,{adj}; {noun}
astroide,astroid,m [geometry],{noun}
astrolabio,astrolabe,m,{noun}
astrológico,astrological,,{adj}
astrología,astrology,f,{noun}
astrometría,astrometry,f,{noun}
astronauta,"astronaut, spaceman",mf,{noun}
astronómico,astronomic,,{adj}
astronomía,astronomy,f,{noun}
astronáutica,astronautics,f,{noun}
astronáutico,astronautic,,{adj}
astucia,"slyness, astuteness",f,{noun}
asturiana,(female) Asturian,f,{noun}
asturiano,Asturian; Asturian; Asturian (language),,{adj}; {noun}; {noun}
Asturias,a province in northwest Spain,,{prop}
astuto,"astute, shrewd, smart, clever",,{adj}
a su hora,"at the right time, on time",adv [idiomatic],{noun}
asumir,"to assume, take on",v [said of a duty or position],{noun}
asunción,"assumption, succession to the throne; the Assumption",f,{noun}
Asunción,"Any of a number of places, including Asunción (capital of Paraguay); female given name",,{prop}
asunto,affair; business; issue; matter,m,{noun}
a sus pies,at your (his/her/their) fingertips,,{phrase}
asustadizo,"scary, frightening",,{adj}
asustado,scared,,{adj}
asustar,"to be scared, frightened; to scare",,{vr}; {vt}
asustarse,reflexive form of asustar To be frightened,,{vr}
AT,OT,,{abbr}
atacado,affronted,,{adj}
atacante,attacker,mf,{noun}
atacar,to attack,,{v}
ataúd,"coffin, casket",m,{noun}
atado,biased; confused; tied; timid; coward,,{adj}; {noun}
atadura,"attachment, tying up; tie",f,{noun}
atañer,to concern,,{v}
atajar,to catch; to block; to intercept; to stop; to take a short cut,v [Latin America],{noun}; {v} [Spain]; {v} [Spain]; {v} [Spain]; {v}
atajo,"shortcut, cutoff",m,{noun}
atalaya,height; watchtower,f,{noun}
atalayar,To spy on; To watch from a high vantage point,,{v}
atanor,water pipe,m,{noun}
ataque,attack,m,{noun}
ataque cardiaco,heart attack,m,{noun}
ataque de nervios,nervous breakdown,m,{noun}
atar,to tie,,{vt}
atarantar,to daze,,{v}
ataraxia,ataraxia,f,{noun}
atarazana,"shipyard, dockyard",f [nautical],{noun}
atardecer,"late afternoon, sunset, dusk, evenfall, nightfall; to draw towards evening, to grow late; to get dark",m,{noun}; {v}; {v}
atarear,to devote oneself to a task or occupation; to task,,{vr}; {vt}
atascar,"to jam, obstruct",,{vt}
atascarse,"to stick, to become stuck",,{vr}
atasco,jam (blockage),m,{noun}
ataviar,to adorn; to dress,,{v}
atavío,apparel; clothing,m,{noun}
ataxia,ataxia,f [pathology],{noun}
ate,"A kind of Mexican jelly candy made by cooking fruit pulp, usually from guava, quince, peach or prickly pear",m,{noun}
atea,feminine form of ateo,f,{noun}
atemorizar,"to scare, frighten",,{vt}
atemperar,to temper,,{v}
Atenas,Athens (capital city of Greece),,{prop}
atenazar,"to grip, paralyse (especially fear); to hold in place (especially by means of a clamp, vice, etc.)",vt [figuratively],{noun}; {vt} [literally]
atención,"attention; courtesy, favor",f,{noun}
atender,"to pay attention; to mind; to care for (someone, especially the ill); to comply with (some rule); to pay attention to (something); to attend to (something)",,{vi}; {vt}; {vt}; {vt}
atener,"To maintain, to keep (a tradition, etc.)",,{v}
atenerse,to rely,,{vr}
atentado,"moderate, prudent; violent attack",,{adj} [dated]; {noun}
atentamente,attentively; best regards (polite closing of a letter); politely,,{adv}
atentar,"to commit a violent or criminal attack, to strike",,{v}
atento,"attentive; polite, courteous; thoughtful",,{adj}
atenuar,to attenuate; to extenuate,,{v}
ateo,atheist; atheist,,{adj}; {noun}
atepocate,tadpole,m [Mexico],{noun}
aterciopelado,velvety (made of velvet),,{adj}
aterectomía,atherectomy,f,{noun}
aterir,to numb cold,,{v}
aterirse,to become rigid from the cold,,{v}
aterrador,terrifying,,{adj}
aterraje,landing (of an aircraft); landing (where a boat lands),m,{noun}
aterrar,"to scare; to stain with earth, dust or sand",,{v}
aterrizaje,Landing (of an airplane),m,{noun}
aterrizar,"to come back to reality, to stop dreaming; to land (e.g. an airplane)","vi [figuratively, colloquial]",{noun}; {vi}
aterrorizar,to terrify,,{v}
ateísmo,atheism,m,{noun}
atesorar,to hoard,,{v}
ateísta,atheist,mf,{noun}
atestación,attestation,f,{noun}
atestar,to attest; to pack,,{v} [legal]; {v}
atestiguar,"to attest, to testify",,{v}
atiborrado,crowded,,{adj}
atiborrar,to stuff oneself (with food); to crowd; to stuff,,{vr}; {v}; {v}
a tiempo,"in time, at the opportune moment; on time, in time, not late",,{adv}
a tientas,"blindly (without seeing, touching shapes for orientation)",,{adv}
atildado,dapper; elegant,,{adj}
atildar,to place a tilde over,,{v}
atinar,to be accurate; hit the target; get (something) right,,{vi}
atirantar,to tighten,,{v}
a tiro,"in range (of a target to shoot); within reach (of a goal, ambition etc.)",,{adv}
a tiro hecho,purposefully,adv [idiomatic],{noun}
atisbar,"to spy on; to watch, to observe",,{v}
atisbo,inkling,m,{noun}
atizador,poker (for fire),m,{noun}
atizar,"to stir, fan, poke, rouse, stoke",,{v}
atlas,,"m [anatomy, cartography] [l/en, atlas]",{noun}
atleta,a physically fit person; athlete (competitor in a sport),mf,{noun}
atletismo,athletics,m,{noun}
atlántico,Atlantic,,{adj}
Atlántico,Atlantic Ocean,,{prop}
Atlántida,Atlantis,,{prop}
atlético,athletic,,{adj}
atómico,atomic,,{adj}
atmosfera,alternative form of atmósfera,f,{noun}
atmosférico,atmospheric,,{adj}
atmósfera,atmosphere,f,{noun}
atún,tuna (fish),m,{noun}
atónito,"stunned, astonished",,{adj}
a todo cerdo le llega su san Martín,every dog has its day,,{proverb}
atole,atole,m,{noun}
atolón,atoll,m,{noun}
atolondrado,"confused; rash, foolish",,{adj}
atolondrar,"to fluster, to confuse",,{vt}
a tomar por el culo,miles away,"adv [idiomatic, vulgar, colloquial]",{noun}
atomicidad,atomicity,f,{noun}
atomizador,atomizer,m,{noun}
atomizar,to atomize; to spray,,{v}
atomoxetina,atomoxetine,f [pharmaceutical drug],{noun}
atonal,atonal,adj [music],{noun}
atontar,to stupefy,,{v}
atorar,to clog,,{v}
atormentar,to torment,,{v}
atornillar,to screw,,{v}
atosigar,"to pester, harass; to poison",,{vt}
atovaquona,atovaquone,"m [pharmaceutical drug, organic compound]",{noun}
atípico,atypical,,{adj}
atrabiliario,atrabilious; choleric,,{adj}
atracar,to berth; to assault,,{v} [nautical]; {v}
atracción,attraction,f,{noun}
atracón,"stuffing, pigging out (act of eating a lot)",m [colloquial],{noun}
atraco,assault; robbery,m,{noun}
atractivo,"attractive; appeal, attractiveness, attraction",,{adj}; {noun}
atraer,"to attract, to lure",,{v}
atraillar,to leash,,{v}
atrancar,"to bar, to secure shut with bars",,{v}
atrapado,"caught, captured; stuck; trapped",,{adj}
atrapar,to capture,,{v}
atrasado,"belated, tardy, delayed",,{adj}
atrasar,to delay,,{v}
atraso,"delay, lateness",m,{noun}
atravesado,"transversal, cross, oblique",,{adj}
atravesar,"to cross, to traverse; to pierce",,{v}
atravesimiento,crossing,m,{noun}
atravesimiento peatonal,pedestrian crossing or overpass,,{n}
a través de,across; through,,{adv}
atrayente,attractive,,{adj}
atreguar,to form or grant a truce,,{v}
atrever,to dare,,{vp}
atreverse,(reflexive form of atrever) to dare,,{vr}
atrevido,"daring, bold",,{adj}
atrevimiento,boldness,m,{noun}
atribución,attribution,f,{noun}
atribuible,ascribable,,{adj}
atribuir,to assign,,{v}
atribular,to afflict,,{v}
atributo,attribute,m,{noun}
atrición,attrition; bruise,f; f [pathology],{noun}
atrincherar,to entrench,,{v}
atrocidad,atrocity,f,{noun}
atrofia,atrophy,f,{noun}
atrofiar,to atrophy; to cause atrophy,vr [atrofiarse],{noun}; {v}
atronador,thunderous,,{adj}
atronar,to deafen; stun; to thunder,,{v}
atropellado,"hasty, in a rush",,{adj}
atropellar,"to be abusive, to bully; to drive over",,{v}
atroz,"atrocious, horrible",,{adj}
atrás,"back in time, ago; behind",,{adv}
Atte.,Abbreviation for atentamente (commonly used as part of the signature in letters and e-mails in Spanish speaking countries),,{abbr}
