Spanish Word,Translation,Prevalence,Gender,Part-of-Speech
cul,"which one, cul, methanol",0.51,,PRON
culata,butt,0.81,F,NOUN
culebra,snake,0.65,F,NOUN
culebreando,"wriggling, sneaking",0.28,M,NOUN
culebrilla,shingles,0.65,F,NOUN
culebrón,soap opera,0.59,M,NOUN
culete,"bum, culet",0.28,,PRON
culiacán,"culiacán, particular, culiacan",0.73,,PROPN
culinario,culinary,0.75,,ADJ
cullenismo,"cullenismo, cullenism",0.28,M,NOUN
culminación,"completion, culmination",0.79,F,NOUN
culminante,culminating,0.71,,ADJ
culminar,culminate,0.71,,VERB
culo,"ass, backside",0.93,M,NOUN
culona,"big ass, culona",0.28,F,NOUN
culpabilidad,"culpability, guilt",0.9,F,NOUN
culpabilización,"blaming, blame",0.28,F,NOUN
culpabilizar,"blaming, blame",0.28,,VERB
culpada,blamed,0.28,F,NOUN
culpado,"to blame, blamed, guilty",0.68,,ADJ
culpar,"to blame, i blame, blame",0.87,,VERB
culpara,blame,0.28,F,NOUN
culparla,blame her,0.28,,VERB
culparlo,blame him,0.51,,VERB
culparlos,blame them,0.28,,VERB
culparnos,blame us,0.51,,VERB
culparte,"blame yourself, blame you",0.28,F,NOUN
culpes,"to blame, culpes, blame",0.51,F,NOUN
culpo,"to blame, i blame, blame",0.78,F,NOUN
culposo,"culpable, guilty",0.51,,ADJ
cult,cult,0.28,,PROPN
cultas,"educated, cultured",0.65,,PRON
culterano,culterano,0.28,M,NOUN
cultivado,cultivated,0.71,,ADJ
cultivar,"cultivate, to cultivate",0.91,,VERB
cultivarnos,"cultivate, cultivate ourselves",0.28,,VERB
cultivarse,"grow, cultivate, en invernadero",0.68,,VERB
cultives,"crops, cultivate",0.28,,VERB
cultivo,"cultivation, crop, farming",0.93,M,NOUN
cultivándolas,cultivating them,0.28,,VERB
culto,"educated, cult, worship",0.96,M,NOUN
cultral,"culture, cultral",0.28,F,NOUN
cultuar,"culture, cultivate",0.28,,VERB
cultura,"knowledge, culture",0.99,F,NOUN
culturalmente,"ally., culturally",0.79,,ADV
cultureta,cultureta,0.28,F,NOUN
culturetariado,"culturetariat, culturetariado",0.28,M,NOUN
culturizar,culturize,0.28,,VERB
culturizarse,"become educated, acculturate, to enlighten",0.51,,VERB
cultívenlas,cultivate them,0.28,,VERB
cum,"cum, cum laude",0.81,M,NOUN
cumbia,cumbia,0.51,F,NOUN
cumbre,"summit, top",0.99,F,NOUN
cumplas,"to carry out, fulfill, complies",0.73,,VERB
cumpleañero,birthday boy,0.28,M,NOUN
cumpleañoshermano,"birthdaybrother, birthday brother",0.28,M,NOUN
cumples,"you fulfill, to carry out, complies, cumples",0.77,,VERB
cumplido,"compliment, polite, fulfilled",0.93,,ADJ
cumplimentar,"fill out, fill in",0.28,,VERB
cumplimiento,"compliance, performance",0.94,M,NOUN
cumplir,"comply with, comply, to carry out",0.97,,VERB
cumplirla,"comply with, fulfill it, to carry out",0.73,,VERB
cumplirlas,"fulfill them, to carry out, comply with them",0.59,,VERB
cumplirlo,"comply with, fulfill it, to carry out",0.65,,VERB
cumplirse,"to carry out, can be found at, be fulfilled",0.81,,VERB
cumpliéndolas,fulfilling them,0.28,,VERB
cumque,cumque,0.28,,PROPN
cuna,cradle,0.94,F,NOUN
cunado,"brother-in-law, when, brother in law",0.51,,ADJ
cund,"when, cund",0.28,,PROPN
cundido,"spread, cundido",0.28,,ADJ
cundir,"cundir, spread",0.28,,VERB
cundo,"when, to spread",0.78,,ADJ
cuneta,ditch,0.72,F,NOUN
cunita,crib,0.28,F,NOUN
cunningham,cunningham,0.28,M,NOUN
cunplia,"cunplied, cunplia",0.28,,PROPN
cunt,"how many, cunt, cradle",0.51,,PROPN
cuntar,"cuntar, how much",0.28,,VERB
cuomo,cuomo,0.28,M,NOUN
cuota,"quota, share, membership fees",0.95,F,NOUN
cup,"menstrual, cup",0.86,,PROPN
cupertino,"cupertino, dissolute",0.59,,ADJ
cupido,cupid,0.73,,ADJ
cupo,"quota, allocation",0.77,M,NOUN
cuppertino,cuppertino,0.28,M,NOUN
cupón,coupon,0.89,M,NOUN
cura,"healing, priest",0.93,M,NOUN
curable,curable,0.28,F,NOUN
curación,"treatment, healing",0.91,F,NOUN
curad,"see, heal",0.28,,VERB
curado,"ageing, curing, cured, cure",0.86,,ADJ
curador,"curator, guardian",0.78,M,NOUN
curadora,curator,0.28,F,NOUN
curaduría,"curatorship, curation",0.28,F,NOUN
curam,curam,0.28,,PROPN
curar,"to cure, cure",0.91,,VERB
curara,"curara, cure",0.28,F,NOUN
curarla,"cure it, to cure, heal her",0.68,,VERB
curarle,"cure him, to cure",0.51,,VERB
curarles,cure them,0.28,,VERB
curarlo,"cure it, to cure",0.65,,VERB
curarlos,cure them,0.28,,VERB
curarme,"cure me, heal me, to cure",0.51,,VERB
curarse,"to cure, heal",0.81,,VERB
curarás,"curarás, to cure, you will heal",0.65,,ADV
curativo,"curative, healing",0.65,,ADJ
curator,"curator, guardian",0.51,M,NOUN
curb,"curve, curb, priest",0.78,,PROPN
curi,"cury, curi",0.28,M,NOUN
curiosae,"curiosae, curious",0.28,F,NOUN
curiosamente,curiously,0.95,,ADV
curiosamentelas,", Curiously enough, curiously",0.28,,VERB
curiosear,"browse, browse (to, to pry, pry",0.77,,VERB
curiosidad,curiosity,0.96,F,NOUN
curioso,curious,0.97,,ADJ
curp,curp,0.28,,PROPN
currado,"currado, to work",0.73,,ADJ
currandoselo,"working on it, working hard",0.28,M,NOUN
currante,"worker, employee, eager beaver",0.65,M,NOUN
currar,"curl (to -, work, to work",0.78,,VERB
currarse,"work hard, go to",0.28,,VERB
curriculo,curriculum,0.28,M,NOUN
currito,"currito, worker, bloke",0.65,M,NOUN
curro,"veneer core, work, job, curro",0.85,,INTJ
curropar,curropar,0.28,,VERB
currículo,"curriculum, curriculum vitae",0.51,M,NOUN
curs,"course, priest, courses",0.51,,VERB
cursado,"course, completed",0.28,M,NOUN
cursar,"go to, study",0.69,,VERB
cursi,corny,0.51,,PROPN
cursillo,"course, short course, workshop",0.65,M,NOUN
cursito,"short course, little course",0.51,M,NOUN
cursivo,"italic, cursive",0.28,,ADJ
curso,"course, year",0.98,M,NOUN
cursopoesía,"cursopoesía, poetry course",0.51,F,NOUN
cursor,cursor,0.8,M,NOUN
curtido,"tanning, weather-beaten",0.59,,ADJ
curtin,curtin,0.28,,PROPN
curtura,"curture, curtura",0.28,,PROPN
curva,curve,0.93,F,NOUN
curvado,"bending, bent, to bend",0.65,,ADJ
curvar,bend,0.28,F,NOUN
curvatura,curvature,0.66,F,NOUN
curve,"curve, curved, to bend",0.59,F,NOUN
curvilínea,"curvilinear, curvaceous",0.28,F,NOUN
curvo,curved,0.65,,ADJ
curvó,"curved, bent",0.28,F,NOUN
cusa,cause,0.28,F,NOUN
cusco,"cusco, helmet",0.78,M,NOUN
cuse,cuse,0.28,,PROPN
custionario,"quiz, custionary",0.27,,ADJ
custodiado,"guarded, to guard",0.51,,ADJ
custodiarla,"to guard, guard it, guard her",0.51,,VERB
custodiarle,guard him,0.27,,VERB
custodiarlo,guard it,0.27,,VERB
custodie,"guard, custodian",0.27,,PRON
custodien,"guard, custodien",0.27,,PRON
custodio,custodian,0.27,M,NOUN
custom,custom,0.27,F,NOUN
customer,"customer, guardian angel",0.59,M,NOUN
customización,customization,0.27,F,NOUN
customizaciónsegún,"customization according to, customizationaccording to",0.27,F,NOUN
custtión,"custtión, custtion",0.27,F,NOUN
cut,cut,0.65,M,NOUN
cuthbert,cuthbert,0.27,,PROPN
cuthbertson,cuthbertson,0.27,,PROPN
cutler,"cutter, cutler",0.65,,PROPN
cutredad,"sleaziness, seediness",0.27,F,NOUN
cutrez,"shabbiness, cutrez, stinginess",0.51,F,NOUN
cutrés,"quatrains, seedy",0.27,M,NOUN
cuya,whose,0.99,,PRON
cuyas,whose,0.95,,PRON
cuyler,cuyler,0.27,,PROPN
cuyo,whose,0.98,,PRON
cuyos,whose,0.95,,PRON
cuzco,cuzco,0.72,,PROPN
cuál,"what, which",0.98,,PRON
cuáles,"what, which",0.96,,PRON
cuán,how,0.92,,ADV
cuándo,when,0.97,,PRON
cuánta,how much,0.9,,PRON
cuántas,"how many, as much as",0.95,,PRON
cuántico,quantum,0.51,,ADJ
cuánticos,quantum,0.74,,PROPN
cuánto,"how, how much",0.97,,PRON
cuéllar,"to screech, cuellar, cuéllar",0.59,,VERB
cuéntale,"tell him, to count",0.66,,PROPN
cuídalo,"take care of it, take care of him, to look after",0.51,,VERB
cuña,"wedge, cradle",0.65,F,NOUN
cuñada,"sister-in-law, brother-in-law",0.84,F,NOUN
cuñadil,"cuñadil, cuadil",0.27,,PROPN
cuñadista,brother-in-law,0.27,,PROPN
cuñado,"brother-in-law, brother in law",0.83,,ADJ
cuñao,"brother-in-law, brother in law",0.27,M,NOUN
cuño,"stamp, seal",0.27,,PROPN
cvičí,"cvicí, cvičí",0.27,M,NOUN
cvs,"rsv, cvs",0.59,,PROPN
cwzgz,cwzgz,0.27,,PROPN
cx,cx,0.27,,SPACE
cy,cy,0.73,,SPACE
cyanogenmod,cyanogenmod,0.65,,PROPN
cyber,cyber,0.27,,PROPN
cyberhouse,"cyber house, cyberhouse",0.51,,PROPN
cyberlander,cyberlander,0.27,,VERB
cyberprimo,"cybercousin, cyberprimo",0.27,,ADJ
cybertarjeta,cybercard,0.27,,PROPN
cydia,cydia,0.27,,VERB
cynthia,cynthia,0.59,,PROPN
cyril,"cyril, lane",0.59,,PROPN
cyrus,"cyrus, corpus",0.68,,PROPN
cyworld,cyworld,0.51,,PROPN
cz,cz,0.27,,PROPN
czar,"to hunt, czar",0.51,,VERB
czeisler,czeisler,0.27,,PROPN
czernich,czernich,0.65,,PROPN
czsar,czsar,0.27,,VERB
cábala,"cabal, cabala",0.27,F,NOUN
cáda,"every, address",0.27,,PROPN
cálculo,calculation,0.92,M,NOUN
cálido,"warm, hot",0.89,,ADJ
cálmate,"to calm down, take it easy, calm down",0.65,F,NOUN
cámara,"camera, house, chamber",0.99,F,NOUN
cámbrico,"Cambrian, cambrian",0.27,,ADJ
cámping,camping,0.8,M,NOUN
cándido,"candid, naive",0.59,,ADJ
cánon,"rule, canyon, canon",0.51,M,NOUN
cántaro,pitcher,0.77,M,NOUN
cántela,"send it to, sing it",0.27,,PROPN
cántenos,"sing to us, contact us at",0.27,,VERB
cántico,"canticle, chant",0.68,,ADJ
cánula,cannula,0.27,F,NOUN
cárabo,"tawny owl, owl",0.66,M,NOUN
cárcel,"prison, jail",0.95,F,NOUN
cárga,load,0.27,F,NOUN
cárgalo,charge it,0.27,,PROPN
cárnico,meat,0.51,,ADJ
cártel,"cartel, poster",0.89,M,NOUN
cásate,"to marry, get married",0.51,M,NOUN
cáscara,"shell, post-negative, peel",0.77,F,NOUN
cátedra,"professorship, chair",0.88,F,NOUN
cátedras,"chairs, professorship",0.65,F,NOUN
cátodo,cathode,0.27,M,NOUN
cáucaso,"caucasus, the caucasus, Caucasus",0.71,M,NOUN
cédula,"identification card, cédula, bond",0.59,F,NOUN
célebes,"celebes, celebrities",0.27,,PROPN
céltico,"celtic, Celtic",0.27,,ADJ
célula,cell,0.87,F,NOUN
céntrico,"downtown, central",0.59,,ADJ
césar,"caesar, cesar, cease",0.91,,PROPN
césped,"grass, lawn",0.92,M,NOUN
cí,cí,0.27,,INTJ
cía,"cía, inc, hipbone",0.51,,PROPN
cíclico,"cyclic, cyclical",0.8,,ADJ
cíngulo,"cingulate, cingulum",0.27,M,NOUN
cínicamente,cynically,0.27,,ADV
cínico,"cynical, cynic",0.83,,ADJ
círculo,circle,0.97,M,NOUN
cítame,"send me an e-mail to, quote me",0.27,,VERB
cívico,civic,0.79,,ADJ
có,"co, có",0.27,,INTJ
cóbrate,"go to, charge yourself",0.27,,PROPN
cóctel,cocktail,0.99,M,NOUN
código,code,0.98,M,NOUN
cólera,"anger, cholera",0.94,,PROPN
cómelo,eat it,0.27,F,NOUN
cómetela,eat it,0.27,,VERB
cómic,"comic strip, comic",0.88,M,NOUN
cómico,"funny, comedy, comic",0.91,,ADJ
cómo,"how, what",1.0,,PRON
cómodamente,"comfortably., comfortably",0.88,,ADV
cómodo,"convenient, comfortable",0.95,,ADJ
cómplice,"accomplice, conspiratorial",0.85,F,NOUN
cómputo,"computation, calculation",0.9,M,NOUN
cónclave,conclave,0.78,M,NOUN
cóndor,condor,0.51,M,NOUN
cónico,conical,0.27,,ADJ
cónsolas,consoles,0.27,,VERB
cónsul,consul,0.69,F,NOUN
cónyuge,spouse,0.76,F,NOUN
cóptico,coptic,0.27,,ADJ
córners,corners,0.27,F,NOUN
córtala,"cut it, to cut, cut it off",0.59,F,NOUN
córtaselas,"cut them off, cut them",0.27,,VERB
cósmicamente,cosmically,0.27,,ADV
cósmico,cosmic,0.87,,ADJ
cúal,"who, which",0.5,,PRON
cúbico,cubic,0.5,M,NOUN
cúbralo,"cover it, cover it up",0.27,,PROPN
cúmplase,comply,0.27,,AUX
cúmulo,"simultaneous collection, cluster, cumulus",0.79,M,NOUN
cúpula,"canopy, dome",0.87,F,NOUN
cúpules,"domes, dome",0.5,,VERB
cúrame,"cure me, heal me",0.27,,SPACE
cúspide,"cusp, top",0.8,F,NOUN
d,"d, queen",0.98,,INTJ
dabi,"dabi, abu dhabi",0.5,M,NOUN
daboll,"daboll, diabolo",0.65,,PROPN
dacia,"dacia, dahlia",0.59,F,NOUN
dación,"dation, giving",0.27,F,NOUN
dactilar,"finger, fingerprint",0.77,M,NOUN
dactilógrafa,typist,0.27,,PROPN
dad,"to give, dad",0.68,F,NOUN
dadasaheb,dadasaheb,0.27,,ADJ
dadeland,dadeland,0.27,,PROPN
dadiso,dadiso,0.27,,ADJ
dadles,"give them, to give",0.59,,AUX
dador,"giver, drawer",0.5,M,NOUN
dafa,dafa,0.27,,PROPN
dafoe,"damages, dafoe",0.5,,PROPN
dag,"gag, dag",0.5,,ADV
daga,dagger,0.78,F,NOUN
dahlstrand,dahlstrand,0.27,,PROPN
daibutsu,daibutsu,0.27,,ADJ
dailo,"dailo, say it, dahlia",0.5,M,NOUN
daimler,daimler,0.71,F,NOUN
daimlerchrysler,daimlerchrysler,0.5,M,NOUN
daimon,"daimon, handing over",0.5,,PROPN
daimyo,daimyo,0.27,M,NOUN
dainichi,"dainichi, drawnwork",0.65,,ADJ
daiquirí,daiquiri,0.99,M,NOUN
daisaku,"daisaku, from the same country",0.5,M,NOUN
daisetsu,daisetsu,0.27,M,NOUN
daisetz,"daisetz, chaise longue",0.5,,PROPN
daiwei,daiwei,0.27,,PROPN
dalai,"dalai, lama",0.91,,PROPN
dalek,dalek,0.27,M,NOUN
dalguna,"dalguna, gentlemanliness, some",0.59,,CCONJ
dalhalla,"dalhalla, valhalla",0.59,,PROPN
dali,dali,0.27,,PROPN
dalila,"delilah, dalila",0.5,,PROPN
dalit,"dalit, dahlia",0.5,F,NOUN
dalla,"dalla, scythe",0.5,F,NOUN
dalmacio,"dalmatia, dalmatius, dalmatian",0.82,M,NOUN
dalái,"dalai, dalai lama",0.85,F,NOUN
dalí,"dali, dalí original",0.5,F,NOUN
dam,"hello, dam",0.27,,ADJ
dama,"lady, queen",0.96,F,NOUN
damar,"to damage, damar",0.5,,VERB
damasco,"damascus, damask, apricot",0.76,M,NOUN
dames,"dames, give them",0.27,,PROPN
damnag,damnag,0.27,,PROPN
damocles,"sword, damocles",0.5,,VERB
danah,"to damage, danah",0.5,M,NOUN
dandoles,giving them,0.27,,VERB
dandome,giving me,0.27,,VERB
dandy,dandy,0.27,,PROPN
dani,"dani, did you hurt yourself",0.86,,PROPN
daniel,daniel,0.95,,PROPN
daniele,daniele,0.27,,PROPN
danielk,danielk,0.27,F,NOUN
daniella,"daniella, maiden",0.5,F,NOUN
danielle,danielle,0.27,F,NOUN
danielou,danielou,0.27,,PROPN
danilo,danilo,0.27,,PROPN
danilov,"malicious, danilov",0.95,,ADV
dannha,"dannha, danna",0.27,,PUNCT
danny,"dandy, danny",0.82,,PROPN
danscillo,danscillo,0.27,M,NOUN
dansiano,dansian,0.27,M,NOUN
danson,danson,0.5,,PROPN
dansófilo,"dansophile, acidophilic",0.59,M,NOUN
danto,"tapir, danto, giving",0.5,M,NOUN
danton,danton,0.27,,PROPN
danubio,danube,0.27,,ADJ
dany,"dany, did you hurt yourself",0.65,,PROPN
danza,dance,0.9,F,NOUN
danzar,dance,0.27,,VERB
danzarín,dancer,0.27,F,NOUN
danzhong,danzhong,0.5,,PROPN
danés,"danish, Danish",0.68,,ADJ
daogongismo,daogongism,0.27,M,NOUN
daojiao,daojiao,0.27,,ADJ
daoshi,daoshi,0.68,,PROPN
daoyi,daoyi,0.27,,PROPN
daoísmo,"daoism, taoism",0.5,M,NOUN
daphne,daphne,0.27,,ADJ
daqué,"dike, daqué",0.5,M,NOUN
dar,"give, to give",1.0,,VERB
dara,"give to, to give, dara",0.78,,AUX
dardo,dart,0.91,,ADJ
dari,dari,0.27,,PROPN
dark,"dark, to give",0.85,M,NOUN
darko,"dart, darko",0.72,F,NOUN
darla,"give it to, to give, give it",0.78,,VERB
darlas,"to give, give them, give them to",0.59,,VERB
darle,"give it to, ., give him",0.98,,VERB
darles,"give them, to give",0.94,,VERB
darlo,"give it to, to give, give it",0.8,,VERB
darlos,"give them, give them to",0.27,,VERB
darme,"to give, give me",0.91,,VERB
darmelo,give it to me,0.27,,VERB
darmha,"drama, darmha",0.5,M,NOUN
darnos,"to give, give us",0.93,,VERB
daro,"daro, give",0.27,,ADJ
daros,"to give, give you",0.85,,VERB
daroslas,give them to you,0.27,,VERB
darse,"given, to give, give yourself",0.97,,VERB
darselo,"give it to, give it to him, to give",0.65,,VERB
darte,"to give, to give you, give you",0.95,,VERB
darwiniano,"darwinian, Darwinian",0.5,M,NOUN
darwinismo,darwinism,0.71,M,NOUN
darwinista,"darwinian, Darwinist, darwinist",0.5,F,NOUN
dasamarga,dasamarga,0.27,F,NOUN
dasasahasrika,dasasahasrika,0.27,,PROPN
daselo,"daselo, give it to him",0.27,M,NOUN
datación,dating,0.8,F,NOUN
datado,dated,0.27,,ADJ
datafonos,"dataphones, datafonos",0.27,,VERB
datar,date,0.71,,VERB
datarse,"dating, to damage, date",0.5,,VERB
datingranking,"ranking, datingranking",0.5,M,NOUN
datis,"data, datis",0.27,,PROPN
datitos,"little data, data",0.27,,VERB
dato,"piece of information, data, fact",0.96,M,NOUN
datois,"datois, data",0.27,,SPACE
datong,datong,0.27,F,NOUN
daum,"daum, given",0.59,,ADV
daun,daun,0.27,,VERB
daur,daur,0.27,,PROPN
dave,"star of david, dave",0.84,,PROPN
daven,"daven, danish",0.78,,PROPN
davi,"problem, davi, david",0.5,,PROPN
david,david,0.98,,PROPN
davidm,davidm,0.27,,ADV
davido,"davido, david",0.27,,ADJ
davidoff,davidoff,0.27,,PROPN
davidson,davidson,0.68,,PROPN
davis,davis,0.82,,PROPN
davídico,"Davidic, legally binding act, davidic",0.5,,ADJ
dawkins,dawkins,0.59,,PROPN
dawn,dawn,0.27,,PROPN
dax,"dax, fax",0.61,,PROPN
dayana,"dayana, damiana",0.5,M,NOUN
dayanaloteto,dayanaloteto,0.27,M,NOUN
dayot,"particulars, dayot",0.59,,PROPN
dazn,dazn,0.27,M,NOUN
dazu,"dazu, given",0.5,,PROPN
dañado,damaged,0.82,,ADJ
dañar,"to damage, damage",0.9,,VERB
dañarla,"damage it, harm her",0.27,,VERB
dañarlo,"damage it, to damage",0.68,,VERB
dañarlos,"damage them, harm them",0.27,,VERB
dañarnos,harm us,0.27,,VERB
dañarse,"go to, get damaged",0.27,,VERB
dañino,"harmful, malicious",0.8,,ADJ
daño,"damage, did you hurt yourself",0.97,M,NOUN
db,db,0.71,,PROPN
dba,"dba, dribble",0.65,,PROPN
dc,"ad, dc, of",0.87,,SPACE
dcg,dcg,0.27,,DET
dcir,say,0.27,M,NOUN
dclxvi,dclxvi,0.27,,ADJ
dcoin,"dcoin, meek",0.5,,PROPN
dcv,dcv,0.27,,AUX
ddd,ddd,0.27,,DET
dddd,dddd,0.27,,PROPN
ddddddddddddd,"dddddddddddddd, ddddddddddddddddddddd",0.27,,PROPN
dde,"from, ddt",0.59,,PROPN
ddt,ddt,0.5,,AUX
de,"indicate posession, from, of",1.0,,ADP
dea,dea,0.27,,SPACE
deacuedo,"deacuedo, i agree",0.27,,ADJ
deacuerdo,"agree, in agreement, disagreement",0.75,M,NOUN
dead,"harambe, dead, dean",0.78,,PROPN
dealbatio,dealbatio,0.26,,ADJ
deambulado,wandered,0.26,,ADJ
deambular,"to roam, wander",0.68,,VERB
dear,"to leave, dear",0.5,,VERB
deasrrollo,"deasrrollo, development",0.26,,ADJ
deauerdo,"agree, deauerdo",0.26,,ADJ
deba,"must, to owe, should",0.92,,AUX
debacle,debacle,0.82,,PROPN
debajo,"under, beneath, underneath, below",0.98,,ADV
debamos,"to owe, we should",0.8,,AUX
deban,"to owe, should",0.86,,AUX
debas,"debas, to owe, you must",0.74,,AUX
debate,debate,0.98,M,NOUN
debatir,"discuss, argue, to debate",0.89,,VERB
debatirlas,discuss them,0.26,,VERB
debatirse,"be discussed, struggle, to debate",0.5,,VERB
debatito,"little debate, debate",0.26,,ADJ
debato,debate,0.26,M,NOUN
debayle,debayle,0.26,,ADJ
debe,"debit, should",0.99,,AUX
debeat,"debeat, beat",0.26,F,NOUN
debellare,"i shall be, debellare",0.26,,PROPN
debemos,"to owe, we must",0.98,,AUX
deben,"must, to owe, should",0.99,,AUX
deber,"must, to owe, duty",0.96,M,NOUN
debera,"you must, to owe, should",0.59,,AUX
deberemos,"to owe, we will have to, we shall",0.84,,AUX
deberiaís,"you should, you should visit",0.26,,ADJ
deberme,owe me,0.26,,VERB
deberse,"due, go to, to owe",0.75,,VERB
debervedad,"you should visit, duty",0.26,F,NOUN
deberá,"shall, to owe, should",0.94,,AUX
deberán,"shall, to owe, should",0.94,,AUX
deberás,"you must, to owe, you shall",0.89,,AUX
deberé,"I will have to, i shall, to owe",0.59,,AUX
debería,"to owe, sould, should",0.99,,AUX
deberíamos,"would we–, to owe, we should",0.96,,AUX
deberían,"to owe, should",0.97,,AUX
deberías,"to owe, you should",0.95,,AUX
debes,"you must, to owe, you",0.97,,AUX
debidamente,"duly, correctly, properly",0.86,,ADV
debido,"due to, due",0.99,,ADJ
debiera,"to owe, should",0.9,,AUX
debieran,"to restore your original, to owe, should",0.77,,AUX
debieras,"to owe, you should",0.5,,AUX
debilidad,weakness,0.91,F,NOUN
debilitación,weakening,0.5,F,NOUN
debilitado,"weakened, to weaken",0.86,,ADJ
debilitamiento,weakening,0.69,M,NOUN
debilitar,"weaken, to weaken",0.85,,VERB
debilitarla,"weaken her, weaken it",0.26,,VERB
debilitarse,"weaken, to weaken",0.5,,VERB
debilucho,"you're wimp, wimpy",0.5,,ADJ
debiste,"you should have, to owe",0.5,,AUX
debito,debit,0.5,M,NOUN
debiéramos,"to owe, we should",0.69,,AUX
debió,"should have, to owe",0.94,,AUX
debo,"I must, i shall, i, to owe",0.96,,AUX
debolezza,debolezza,0.5,,PROPN
debolsillo,"debolsillo, pocket-size",0.26,M,NOUN
debugar,debug,0.26,,VERB
debut,debut,0.85,M,NOUN
debutar,"to make one's debut, debut",0.5,,VERB
debía,"he must, to owe, should",0.98,,AUX
debíamos,"to owe, we should",0.74,,AUX
debían,"to owe, they should, should",0.95,,AUX
dec,"dec, sgp",0.59,,PROPN
decadencia,"decline, decay, decadence",0.9,F,NOUN
decadente,"declining, decadent",0.73,,ADV
decaer,"decay, to flag",0.74,,VERB
decaimiento,"decay, feel run-down low",0.5,M,NOUN
decana,"dean, doyenne",0.59,M,NOUN
decano,dean,0.69,,ADJ
decantado,"to decant, decanted",0.74,,ADJ
decantar,decant,0.26,,VERB
decantarse,"opt for, decant, to decant",0.64,,VERB
decanto,"of singing, decanto, to decant",0.5,,ADJ
decapitación,decapitation,0.73,F,NOUN
decapitarlo,behead him,0.26,,VERB
decaridad,"charity, decarity",0.26,F,NOUN
decay,decay,0.26,M,NOUN
decena,"ten, units tens and hundreds",0.59,,PRON
decencia,decency,0.83,F,NOUN
decenio,decade,0.68,M,NOUN
decentemente,"respectably, decently",0.59,,ADV
decentilla,decentilla,0.26,F,NOUN
decentralizar,decentralize,0.26,,VERB
decepcionado,"disappointed, upset",0.89,,ADJ
decepcionar,"disappoint, let down, to disappoint",0.59,,VERB
decepcionarla,"disappoint her, let her down",0.26,,VERB
decepcionarlos,"disappoint them, let them down",0.26,,VERB
decepcionarte,let you down,0.26,,VERB
decepción,"deception, Disappointment, disappointment",0.89,F,NOUN
deceso,"death, decease",0.76,M,NOUN
decibo,decibo,0.26,M,NOUN
decicarse,"go to, make up your mind",0.26,,VERB
decider,"to decide, decide",0.59,,VERB
decididamente,"decisively, decidedly",0.93,,ADV
decididir,decide,0.26,,VERB
decidido,"decided, decisive",0.97,,ADJ
decidir,"take decisions, decide, to decide",0.96,,VERB
decidirlo,"to decide, decide it, decide",0.5,,VERB
decidirme,"to decide, make up my mind, decide",0.59,,VERB
decidirse,"to decide, decide",0.87,,VERB
decidirte,"make up your mind, decide",0.26,,VERB
decidles,tell them,0.26,,VERB
decido,"to decide, I decide, decided, i decide",0.87,,ADJ
decidó,decided,0.26,,ADJ
decig,decig,0.26,,PROPN
decime,tell me,0.26,,VERB
decimo,tenth,0.26,,ADJ
decimocuarto,fourteenth,0.59,M,NOUN
decimonoveno,nineteenth,0.26,,ADJ
decimonónico,"nineteenth century, nineteenth-century",0.5,,ADJ
decimoquinto,fifteenth,0.26,,ADJ
decimosexto,sixteenth,0.26,,ADJ
decimotercer,thirteenth,0.26,,ADJ
decir,"in popular speech, say",1.0,,VERB
decirla,"tell her, say it",0.26,,VERB
decirle,"tell him, tell, to say",0.96,,VERB
decirles,"to say, tell them",0.92,,VERB
decirlo,"say so, say it, to say, say",0.96,,VERB
decirme,"tell me, to say",0.93,,VERB
decirnos,"to say, tell us",0.86,,VERB
decirse,"be said, can be reached at, to say",0.93,,VERB
decision,decision,0.75,F,NOUN
decisional,decisional,0.26,F,NOUN
decisivamente,"decisively, obrar",0.64,,ADV
decisivo,"decisive, crucial",0.89,,ADJ
decisión,decision,0.99,F,NOUN
decisoria,"decisional, decisive",0.26,F,NOUN
decisorio,"decision maker, decisive",0.26,,ADJ
deckard,deckard,0.26,,PROPN
declamar,"declaim, recite, to declaim",0.61,,VERB
declaracion,"statement, declaration",0.5,,PROPN
declaración,"constitution, statement, declaration",0.99,F,NOUN
declaradamente,"openly, avowedly",0.5,,ADV
declarado,declared,0.95,,ADJ
declarar,"declare, to declare",0.91,,VERB
declararla,declare it,0.26,,VERB
declararnos,declare ourselves,0.26,,VERB
declararse,"declare, to declare",0.68,,VERB
declaratur,"declaratur, declaration",0.26,M,NOUN
declinación,"decline, declension, declination",0.8,F,NOUN
declinar,"decline, to turn down",0.8,,VERB
declive,"decline, slope",0.9,M,NOUN
decodificado,decoded,0.26,,ADJ
decoloración,discoloration,0.26,F,NOUN
decolorado,"discolored, bleached",0.26,,ADJ
decomisado,seized,0.26,,ADJ
decomisar,"to confiscate, seize",0.59,,VERB
decomiso,"forfeiture, confiscation",0.68,,ADJ
deconchy,"darn it, deconchy",0.59,M,NOUN
deconstruccion,"of construction, deconstruction",0.26,,PROPN
deconstruccionismo,"obstructionism, deconstructionism",0.5,M,NOUN
deconstrucción,"of construction, deconstruction",0.73,F,NOUN
deconstruir,"to deconstruct, deconstruct",0.64,,VERB
deconstruirnos,"deconstructing ourselves, deconstruct us",0.26,,VERB
decoracion,"decoration, decor",0.5,,PROPN
decoración,"decoration, decor",0.91,F,NOUN
